canopy_rate_history
Year,Canopy Rate
2020,32.43
2021,44.77
2022,45.18
2023,45.62
2024,46.07
2025,46.53
2026,47.01
2027,47.47
2028,47.78
2029,48.32
2030,48.8
2031,49.26
2032,49.7
2033,50.11
2034,50.55
2035,50.95
2036,51.32
2037,51.69
2038,52.04
2039,52.36
2040,48.78
2041,49.74
2042,50.16
2043,50.52
2044,50.68
2045,50.72
2046,51.13
2047,51.37
2048,51.71
2049,51.83
2050,52.09
2051,52.45
2052,52.38
2053,52.12
2054,52.47
2055,51.87
2056,51.66
2057,52.03
2058,52.39
2059,52.6
2060,52.97
2061,53.3
2062,53.61
2063,53.91
2064,54.2
2065,54.47
2066,44.07
2067,45.86
2068,46.33
2069,46.79
2070,47.01
2071,45.18
2072,45.96
2073,46.16
2074,46.32
2075,46.53
2076,46.45
2077,46.74
2078,47.01
2079,47.24
2080,47.56
2081,47.59
2082,48.02
2083,48.21
2084,48.31
2085,48.8
2086,48.93
2087,49.27
2088,49.76
2089,49.85
2090,50.19
2091,50.61
2092,51.0
2093,51.37
2094,51.49
2095,51.85
2096,52.17
2097,49.45
2098,50.3
2099,50.69
2100,48.59

