canopy_rate_history
Year,Canopy Rate
2020,24.73
2021,28.94
2022,29.07
2023,29.21
2024,29.34
2025,29.47
2026,29.6
2027,29.73
2028,29.84
2029,29.96
2030,30.08
2031,30.19
2032,30.3
2033,30.4
2034,30.49
2035,30.58
2036,30.66
2037,30.73
2038,30.8
2039,30.87
2040,30.93
2041,30.98
2042,31.03
2043,31.07
2044,31.11
2045,31.15
2046,31.18
2047,31.2
2048,31.23
2049,31.25
2050,31.26
2051,31.28
2052,31.29
2053,31.3
2054,31.31
2055,31.31
2056,31.32
2057,31.32
2058,31.33
2059,31.33
2060,31.33
2061,31.34
2062,31.34
2063,31.34
2064,31.34
2065,31.34
2066,31.34
2067,31.34
2068,31.34
2069,31.35
2070,31.35
2071,31.35
2072,31.35
2073,31.34
2074,31.34
2075,31.34
2076,31.34
2077,31.34
2078,31.34
2079,31.34
2080,31.34
2081,31.34
2082,31.34
2083,31.34
2084,31.34
2085,31.34
2086,31.34
2087,31.34
2088,31.34
2089,31.34
2090,31.34
2091,31.34
2092,31.34
2093,31.34
2094,31.34
2095,31.34
2096,31.34
2097,31.34
2098,31.34
2099,31.34
2100,31.34
2101,31.34
2102,31.34
2103,31.34
2104,31.34
2105,31.34
2106,31.34
2107,31.34
2108,31.34

