canopy_rate_history
Year,Canopy Rate
2020,4.4
2021,7.36
2022,7.57
2023,7.8
2024,8.03
2025,8.28
2026,8.53
2027,8.79
2028,9.06
2029,9.33
2030,9.61
2031,9.89
2032,10.17
2033,10.46
2034,10.76
2035,11.05
2036,11.35
2037,11.65
2038,11.95
2039,12.26
2040,12.51
2041,12.82
2042,12.57
2043,12.89
2044,13.19
2045,13.5
2046,13.81
2047,13.91
2048,13.78
2049,14.11
2050,12.56
2051,12.64
2052,10.98
2053,11.33
2054,11.49
2055,9.39
2056,8.89
2057,6.59
2058,6.1
2059,6.32
2060,6.54
2061,6.76
2062,6.99
2063,7.23
2064,7.47
2065,7.73
2066,7.98
2067,8.25
2068,8.52
2069,8.79
2070,9.07
2071,9.36
2072,9.65
2073,9.94
2074,10.23
2075,10.53
2076,10.83
2077,11.13
2078,11.44
2079,11.74
2080,12.05
2081,12.31
2082,12.43
2083,12.64
2084,12.95
2085,13.26
2086,13.57
2087,13.78
2088,13.99
2089,13.84
2090,13.92
2091,12.47
2092,12.04
2093,11.09
2094,11.39
2095,11.54
2096,9.41
2097,7.67
2098,6.1
2099,6.14
2100,6.36

