Moyen;01.01.2002 00:00;26.11.2012 00:00;5.9;2.9;5
Grand;01.01.1912 00:00;02.10.2012 00:00;22;5;10
Grand;01.01.1912 00:00;02.10.2012 00:00;22;13;12
Moyen;01.02.2006 00:00;02.10.2012 00:00;12;2;6
Grand;01.01.2002 00:00;02.10.2012 00:00;2;2;2
Petit;01.01.1962 00:00;04.10.2012 00:00;3;0.2;3
Moyen;01.01.1962 00:00;04.10.2012 00:00;15;0.5;12
Moyen;01.01.2002 00:00;26.11.2012 00:00;6.1;3.1;4
Grand;01.01.2002 00:00;27.09.2012 00:00;12;2;6
Moyen;01.01.2002 00:00;02.10.2012 00:00;12;0.5;8
Grand;01.01.1962 00:00;22.11.2012 00:00;18;3.1;11
Grand;01.01.1962 00:00;22.11.2012 00:00;17;3.9;12
Grand;01.01.2002 00:00;04.10.2012 00:00;9;2.5;6
Grand;01.01.2002 00:00;04.10.2012 00:00;7;2.5;5
Grand;01.01.1912 00:00;04.10.2012 00:00;25;2.5;17
Grand;01.01.1962 00:00;04.10.2012 00:00;25;3;9
Grand;01.01.1912 00:00;04.10.2012 00:00;25;2.5;20
Moyen;01.01.2002 00:00;04.10.2012 00:00;13;2.5;3
Grand;01.01.2007 00:00;27.09.2012 00:00;9;2.5;6
Grand;01.01.1962 00:00;02.10.2012 00:00;17;4.5;11
Moyen;01.01.2002 00:00;04.10.2012 00:00;10;2.5;5
Moyen;01.01.1962 00:00;04.10.2012 00:00;15;2;14
Moyen;01.01.2002 00:00;04.10.2012 00:00;13;3.5;4
Grand;01.01.1962 00:00;27.09.2012 00:00;18;3;13
Grand;01.01.1912 00:00;01.11.2012 00:00;25;3;15
Grand;01.01.1962 00:00;01.11.2012 00:00;22;2;13
Grand;01.01.1912 00:00;02.10.2012 00:00;20;2.5;10
Grand;01.01.1962 00:00;27.09.2012 00:00;15;3;11
Grand;01.01.1962 00:00;22.11.2012 00:00;14;2.6;11
Grand;01.01.1962 00:00;04.10.2012 00:00;18;5;13
Grand;01.01.1962 00:00;04.10.2012 00:00;13;6;12
Moyen;01.01.2002 00:00;04.10.2012 00:00;14;3.5;4
Moyen;01.01.1962 00:00;02.10.2012 00:00;15;3;16
Moyen;01.01.2002 00:00;04.10.2012 00:00;17;3;4
Grand;01.01.2002 00:00;02.10.2012 00:00;20;9;12
Moyen;01.01.2002 00:00;04.10.2012 00:00;10;2.5;4
Moyen;01.01.2002 00:00;02.10.2012 00:00;7;2.5;7
Moyen;01.01.2002 00:00;02.10.2012 00:00;11;2;12
Petit;01.01.2007 00:00;02.10.2012 00:00;5;1.5;3
Grand;01.01.1962 00:00;04.10.2012 00:00;10;0.4;13
Grand;01.01.1962 00:00;04.10.2012 00:00;11;3.5;10
Moyen;01.01.2002 00:00;04.10.2012 00:00;8;3;7
Grand;01.01.2002 00:00;01.11.2012 00:00;22;7;8
Moyen;01.01.1962 00:00;04.10.2012 00:00;20;2;20
Grand;01.01.1962 00:00;22.11.2012 00:00;13;3.4;14
Grand;01.01.1962 00:00;22.11.2012 00:00;18;6;14
Grand;01.01.1962 00:00;22.11.2012 00:00;17;3.9;12
Moyen;01.01.2002 00:00;02.10.2012 00:00;6;1;7
Moyen;01.01.1962 00:00;02.10.2012 00:00;18;2;5
Grand;01.01.2002 00:00;27.09.2012 00:00;12;4;10
Grand;01.01.1962 00:00;02.10.2012 00:00;20;3;12
