Erreur_D;Erreur_H;CanopeeMax_D;CanopeeMax_H;Longevite;r;AgePlantation;GSM
0.055998092031425244;0.12376867054382212;7;5;30;0.8;8;0.65;
0.0634558922558921;0.1255759861238648;6;5;30;0.8;6;0.8;
0.0634558922558922;0.07568343801652865;8;6;30;0.8;6;0.6;
0.06437373737373728;0.13150930517294138;6;5;30;0.8;8;0.75;
0.06528484848484857;0.05875680195898333;8;6;30;0.8;4;0.65;
0.07249849607182965;0.10135889807162533;7;5;30;0.8;6;0.7;
0.07253636363636394;0.0949584634220996;7;5;30;0.8;4;0.75;
0.0749545454545454;0.08866804407713498;7;5;40;0.8200000000000001;10;0.7;
0.0766696969696972;0.09478517906336102;7;5;20;0.8;2;0.65;
0.07757535353535343;0.1376260361187634;6;5;30;0.8200000000000001;8;0.75;
0.07908363636363641;0.09723812672176317;7;5;50;0.9;10;0.7;
0.07935749242424217;0.0943265075757577;7;5;40;0.86;8;0.7;
0.079409090909091;0.09455096418732777;7;5;40;0.88;10;0.65;
0.07999999999999995;0.12369554127129885;6;5;30;0.8;10;0.7;
0.07999999999999999;0.14021671258034882;7;6;30;0.8;10;0.6;
0.08057396969696996;0.06172056487603318;8;6;40;0.8200000000000001;8;0.65;
0.08072727272727273;0.06239338842975218;8;6;40;0.8400000000000001;10;0.6;
0.08072727272727293;0.13800991735537171;6;4;40;0.8400000000000001;10;0.8;
0.08158196363636344;0.06157055523966947;8;6;50;0.9;8;0.65;
0.08163490909090922;0.061934386776859515;8;6;50;0.86;10;0.65;
